2026-08-17 14:17:12 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 14:17:12 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 14:18:36 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 14:18:36 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 14:18:36 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 14:18:36 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 16:49:16 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 17:02:48 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 17:17:34 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 17:17:34 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 17:17:34 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 17:17:34 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 17:40:32 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:05:56 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:05:56 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:05:56 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:05:56 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:09:20 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:09:20 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:09:20 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:09:20 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:10:55 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:10:55 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:10:55 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:10:55 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:11:30 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:11:30 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:11:30 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:11:30 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:16:41 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:16:41 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:16:41 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:16:41 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:17:39 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:17:39 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:17:39 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:17:39 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:18:15 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:18:46 | INFO    | Alerts     | No Telegram token � terminal alerts only.
2026-08-17 18:50:55 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:50:55 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:50:55 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:50:55 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:57:26 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:57:26 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:57:26 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:57:26 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:58:01 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:58:01 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:58:01 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:58:01 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 18:58:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:58:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:58:21 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 18:58:21 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 19:12:28 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:12:28 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:12:28 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:12:28 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 19:13:10 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:14:56 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:17:14 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:17:14 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:17:14 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:17:14 | WARNING | Alerts     | Camera tamper detected!
2026-08-17 19:50:14 | INFO    | Alerts     | No Telegram token — terminal alerts only.
2026-08-17 19:51:08 | INFO    | Alerts     | 🔴 Security Alert — High Risk
━━━━━━━━━━━━━━━━━━━━
🕐 Time: 07:51:08 PM
📍 Location: Restricted Area
📊 Risk Score: 100 / 100
━━━━━━━━━━━━━━━━━━━━
👁 What is happening:
  • Person is entered a restricted area
━━━━━━━━━━━━━━━━━━━━
